,event_id,student_id,timestamp,event_type,skill_id,question_id,difficulty,correct,response_time_ms,attempt_number,meta,session_id
433,E_d4725b88f29341c8b041a638c732d71d,U_b5d35848,1768142907.1667848,solve,S01_ARITH,Q_ARITH_OOO_E1_ec417cd6,1,1,6221,1,"{""generated_params"":{""a"":-3,""b"":6,""c"":8},""template_id"":""ARITH_OOO_E1""}",S_9a1d639a
434,E_29617b2211f44b84a916bb5553a4c00b,U_b5d35848,1768142915.0435553,solve,S01_ARITH,Q_ARITH_OOO_E1_5d8073ac,1,1,7836,1,"{""generated_params"":{""a"":-7,""b"":-9,""c"":-9},""template_id"":""ARITH_OOO_E1""}",S_9a1d639a
435,E_bbbd8591bc2242609010cce7d2c948c6,U_b5d35848,1768142983.7707503,hint,S01_ARITH,Q_ARITH_PAREN_M2_0ca29f3c,2,,,,"{""hint"":""Try breaking the problem into smaller steps.""}",S_9a1d639a
436,E_202347985f5c43cfa9539851f00b71e8,U_b5d35848,1768142986.264249,explanation,S01_ARITH,Q_ARITH_PAREN_M2_0ca29f3c,2,,,,"{""explanation"":""Think about the rule being applied and work step-by-step.""}",S_9a1d639a
437,E_b762635a055a4725a352233a477a1bc3,U_b5d35848,1768142992.5508714,solve,S01_ARITH,Q_ARITH_PAREN_M2_0ca29f3c,2,1,77458,1,"{""generated_params"":{""a"":-9,""b"":4,""c"":-5},""template_id"":""ARITH_PAREN_M2""}",S_9a1d639a
438,E_7c2695d133694c2884d12442cef55cb5,U_b5d35848,1768143021.8840709,solve,S02_FRAC,Q_FRAC_ADD_E1_9676fd4b,1,1,29287,1,"{""generated_params"":{""a"":1,""b"":3,""c"":3,""d"":2},""template_id"":""FRAC_ADD_E1""}",S_9a1d639a
439,E_ea0b890b51bd4ae7aec0a86f5ee86ae5,U_b5d35848,1768143027.129441,solve,S02_FRAC,Q_FRAC_ADD_E1_9a3aac71,1,1,5200,1,"{""generated_params"":{""a"":5,""b"":7,""c"":4,""d"":2},""template_id"":""FRAC_ADD_E1""}",S_9a1d639a
440,E_5e7bc1a85c4347b5a53adc898c5a587f,U_b5d35848,1768143032.2302787,solve,S02_FRAC,Q_RATIO_FIND_X_M2_77d279ed,2,0,5053,1,"{""generated_params"":{""a"":1,""b"":4,""c"":10},""template_id"":""RATIO_FIND_X_M2""}",S_9a1d639a
441,E_a7d2d35d58e6469a9c8f939be8054c03,U_b5d35848,1768143035.8846161,end,__session__,__session__,0,,,,,S_9a1d639a
442,E_7886414be68d48048c2e164095f2e0d6,U_b5d35848,1768189586.0033307,start,__session__,__session__,0,,,,,S_16ede122
443,E_eda596642924496c89f2ec95f853742f,U_b5d35848,1768422732.1265967,start,__session__,__session__,0,,,,,S_7aa590ac
444,E_0f61e238c00a49b8bf8bf11f21aaf574,U_b5d35848,1768422740.5562925,end,__session__,__session__,0,,,,,S_7aa590ac
445,E_bc741bf8875a4ec99a910148d015834c,U_b5d35848,1768422740.5894349,start,__session__,__session__,0,,,,,S_e82d534e
446,E_eacedf3a477d41858678bce2a76d4754,U_b5d35848,1768422768.0405803,solve,S01_ARITH,Q_ARITH_OOO_E1_509b45c2,1,1,18072,1,"{""generated_params"":{""a"":4,""b"":-3,""c"":7},""template_id"":""ARITH_OOO_E1""}",S_e82d534e
447,E_ac71a9652a774ff69e2d7e75b29a58d2,U_b5d35848,1768422780.1174755,solve,S01_ARITH,Q_ARITH_OOO_E1_4d75f8e2,1,1,12034,1,"{""generated_params"":{""a"":2,""b"":5,""c"":-9},""template_id"":""ARITH_OOO_E1""}",S_e82d534e
448,E_e7ca8a34545849bc98d225340126a67d,U_b5d35848,1768422790.979328,solve,S01_ARITH,Q_ARITH_OOO_E1_32248e57,1,1,10818,1,"{""generated_params"":{""a"":2,""b"":5,""c"":-3},""template_id"":""ARITH_OOO_E1""}",S_e82d534e
449,E_322cd8325d5647d9b0dc76dcfd182ef4,U_b5d35848,1768422795.9588895,solve,S01_ARITH,Q_ARITH_OOO_E1_f79b2820,1,0,4942,1,"{""generated_params"":{""a"":2,""b"":-6,""c"":-7},""template_id"":""ARITH_OOO_E1""}",S_e82d534e
450,E_3001b04f7d994745986c4413ec3e7cae,U_b5d35848,1768422799.0814025,solve,S01_ARITH,Q_ARITH_OOO_E1_4e84a071,1,1,3078,1,"{""generated_params"":{""a"":-5,""b"":4,""c"":3},""template_id"":""ARITH_OOO_E1""}",S_e82d534e
